単語ID,日本語,英語,出題の有無
demo-abba,テスト用,abba,0
halloween,ハロウィン,Halloween,1
eraser,消しゴム,eraser,1
mouse,マウス,mouse,1
map,地図,map,1
tissue,ティッシュ,tissue,1
air-conditioner,エアコン,air conditioner,1
temple,寺,temple,1
solar,太陽の,solar,1
rice-ball,おにぎり,rice ball,1
cherry-blossoms,桜,cherry blossoms,1
seed,種,seed,1
waterfall,滝,waterfall,1
junior-high-school,中学生,junior high school,1
ball-point-pen,ボールペン,ball point pen,1
ax,斧,ax,1
plant,植物,plant,1
bald,ハゲ,bald,1
tooth-brush,歯ブラシ,tooth brush,1
house,家,house,1
rice,米,rice,1
drum,太鼓,drum,1
history,歴史,history,1
united-states,アメリカ,United States,1
england,イングランド,England,1
mongolia,モンゴル,Mongolia,1
child,子供,child,1
children,子どもたち,children,1
nature,自然,nature,1
giant,巨人,giant,1
vacuum-cleaner,掃除機,vacuum cleaner,1
detective,探偵,detective,1
foam,泡,foam,1
sky,空,sky,1
slowly,ゆっくり,slowly,1
sleep,睡眠,sleep,1
wind,風,wind,1
volcano,火山,volcano,1
tomorrow,明日,tomorrow,1
alcohol,お酒,alcohol,1
ant,アリ,ant,1
cat,ネコ,cat,1
dream,夢,dream,1
express-way,高速道路,Express way,1
dictionary,辞書,dictionary,1
daily-life,日常,daily life,1
cram-school,塾,cram school,1
grapes,ぶどう,grapes,1
aquarium,水族館,aquarium,1
spring,春,spring,1
war,戦争,war,1
mountain,山,mountain,1
scissors,ハサミ,scissors,1
island,島,island,1
snow,雪,snow,1
iron,鉄,iron,1
season,季節,season,1
reverse,逆,reverse,1
curtain,カーテン,curtain,1
prohibited,禁止,prohibited,1
turtle,かめ,turtle,1
tree,木,tree,1
left,左,left,1
police-officer,警察官,police officer,1
suspect,容疑者,suspect,1
comics,漫画,comics,1
body,体,body,1
birthday,誕生日,birthday,1
butter,バター,butter,1
crocodile,ワニ,crocodile,1
lol,笑,lol,1
angry,怒る,angry,1
pollen,花粉,pollen,1
eye,目,eye,1
purple,紫,purple,1
fire,火事,fire,1
era,時代,era,1
finger,指,finger,1
please-stop,やめてください,please stop,1
heaven,天国,heaven,1
close,近い,close,1
politics,政治,politics,1
blue-bird,青い鳥,blue bird,1
refrigerator,冷蔵庫,refrigerator,1
cattle,牛,cattle,1
shelf,棚,shelf,1
medicine,薬,medicine,1
letter,手紙,letter,1
flower,花,flower,1
